ID,name,lat,lon,location,marketcap,EVSales
1,GE,42.35,-71.54,"Boston, MA",2500000,2.2
2,Algomi,51.5074,-0.1278,"London, UK",350000,1.5
3,Santander Bank,40.4123,-3.8888,"Boadilla del Monte, Spain",500000,0.6
4,Blockchain,49.6116,6.1319,"Luxembourg City, LUX",60000,1.1
5,Made.com,51.5074,-0.1278,"London, UK",1000000,3.6
6,North Media,55.7352,12.5148,"Soborg, Denmark",275000,5.3
7,VALE S.A.,-22.9068,-43.1729,"Rio de Janiero,  Brazil",750000,2.2
8,National Steel Company,-23.5505,-46.6333,"Sao Paulo, Brazil",700000,7.5
9,Volkswagen,52.4227,-10.7865,"Wolfsburg, Germany",1500000,1.9
10,America Movil,19.4326,-99.1332,"Mexico City, Mexico",900000,2.8
11,Kangaroo Bus Lines,-27.4698,153.0251,"Brisbane, AU",1100000,3.6
12,Red Lobster,28.5383,-81.3792,"Orlando, FL",2000000,2.1
13,Wattyl Limited,-33.8688,151.2093,"Sydney, AU",500000,1.9
14,Hasbro,41.879,-71.3826,"Pawtucket, RI",750000,3.5
15,Amazon,47.6062,-122.3321,"Seattle, WA",15000000,4.5
16,AT&T,32.7767,-96.797,"Dallas, TX",2250000,5.3
17,Keurig,44.4759,-73.2121,"Burlington, VT",876000,2.4
18,Verizon,40.7128,-74.006,"New York, NY",950000,3.6
19,New England Coffee,42.42451,-71.062,"Malden, MA",1150000,1.2
20,Pixar,37.8313,-122.2852,"Emeryville, CA",3350000,0.6
21,Disney,28.3852,-81.5639,"Burbank, CA",17500000,2.5
22,CBS,40.7128,-74.006,"New York, NY",2950000,4.6
23,Toyota,35.0824,137.1562,"Toyota City, Japan",6500000,2.5
24,Cataldo Ambulance Services,42.3876,-71.0995,"Somerville, MA",850000,4.6
25,Genzyme,42.3736,-71.1097,"Cambridge, MA",2650000,6.7
26,Irobot,42.4906,-71.276,"Bedford, MA",1950000,5.6
27,Maui Land & Pineapple Company,20.8893,-156.4729,"Maui, HI",2250000,4.8
28,L. L. Bean,43.857,-70.1031,"Freeport, ME",1150000,4.9
29,Energy East,41.2786,-73.0265,"Orange, CT",290000,7.3
30,Smoothie King,29.9841,-90.1529,"Metarie, LA",885000,2.3
31,Maid-Rite,41.5868,-93.625,"Urbandale, IA",450000,6.1
32,Craigslist,37.7749,-122.4194,"San Francisco, CA",9750000,3.5
33,Guitar Center,34.1466,-118.8074,"Westlake Village, CA",2940000,3.9
34,Genentech,37.6547,-122.4077,"South San Francisco, CA",4500000,6.4
35,Jamba Juice,33.1506,-96.8236,"Frisco, TX",1200000,9.3
36,Wells Fargo,37.7749,-122.4194,"San Francisco, CA",4850000,5.6
37,Zero Skateboards,33.1581,-117.3506,"Carlsbad, CA",700000,4.5
38,Santa Claus House,64.7511,-147.3494,"North Pole, AK",550000,4.2
39,PenAir,44.9778,-93.265,"Anchorage, AK",1400000,1.9
40,JetBlue,40.7447,-73.9485,"Long Island City, New York, NY",3650000,3.8
41,Kemmer LLC,37.654656,-122.4077498,"South San Francisco, California",2739011,2.5
42,"Moen, Orn and Schaden",33.5676842,-117.7256083,"Aliso Viejo, California",2791321,7.5
43,"Howell, Bernier and Gerhold",44.0805434,-103.2310149,"Rapid City, South Dakota",1651712,1.5
44,Greenfelder Inc,45.1732394,-93.3030063,"Coon Rapids, Minnesota",3627210,5.6
45,Botsford and Sons,42.4250964,-71.066163,"Malden, Massachusetts",3362980,9.2
46,Sauer Inc,40.0455917,-86.0085955,"Noblesville, Indiana",3911253,1.6
47,Koelpin-Ondricka,26.4614625,-80.0728201,"Delray Beach, Florida",253640,8.3
48,"Mante, Lesch and Zemlak",26.6617635,-80.2683571,"Wellington, Florida",692384,1.5
49,Heathcote-Quigley,38.789217,-90.322614,"Florissant, Missouri",2969286,2.1
50,Lesch and Sons,41.0997803,-80.6495194,"Youngstown, Ohio",724925,3.6
51,Collins-Pfeffer,33.6189101,-117.9289469,"Newport Beach, California",4221815,5.8
52,"Nitzsche, Kihn and Bartell",40.4842027,-88.9936873,"Bloomington, Illinois",3028368,3.4
53,Hansen-Reichel,33.6971468,-117.185294,"Menifee, California",3602481,5.7
54,Swift-Tromp,37.4137536,-79.1422464,"Lynchburg, Virginia",4221481,5.1
55,Schroeder-Schneider,40.3977612,-105.0749801,"Loveland, Colorado",1157078,2.9
56,Berge-Prohaska,39.7674578,-94.846681,"St. Joseph, Missouri",1891108,4.3
57,"Grady, Bruen and McGlynn",38.6779591,-121.1760583,"Folsom, California",2436719,3.6
58,Towne-Hane,39.8403147,-88.9548001,"Decatur, Illinois",2412454,7.9
59,Rempel and Sons,38.2975381,-122.286865,"Napa, California",658140,7.2
60,Konopelski-Conner,33.1031744,-96.6705503,"Allen, Texas",4096778,2.7
61,Kuphal and Sons,32.9810059,-80.0325867,"Goose Creek, South Carolina",2670176,2.6
62,Ebert and Sons,42.1211364,-88.2578582,"Carpentersville, Illinois",4125992,5
63,Runte Group,33.9652918,-118.1514588,"Bell Gardens, California",4087234,2
64,Sawayn-McCullough,42.0028761,-71.5147839,"Woonsocket, Rhode Island",3447695,9.5
65,Nienow and Sons,44.9530215,-92.9952153,"Maplewood, Minnesota",2425199,2.9
66,"Ledner, Swift and Schultz",38.9784453,-76.4921829,"Annapolis, Maryland",3858589,5.5
67,"Rosenbaum, Spencer and Rippin",34.6992579,-86.7483318,"Madison, Alabama",1764463,7.8
68,"Halvorson, Konopelski and Powlowski",40.521893,-111.9391023,"Riverton, Utah",2411387,5.5
69,Dooley LLC,37.7749295,-122.4194155,"San Francisco, California",445340,8.3
70,Bogisich-Gulgowski,41.8239891,-71.4128343,"Providence, Rhode Island",1602103,6.3
71,Yost-Stark,37.5629917,-122.3255254,"San Mateo, California",1432350,7.2
72,"Bruen, Farrell and Bayer",27.8005828,-97.396381,"Corpus Christi, Texas",3596165,9.3
73,VonRueden-Greenfelder,46.6020711,-120.5058987,"Yakima, Washington",929680,3.6
74,Bernhard-Bogan,25.9860762,-80.3035602,"Miramar, Florida",2529371,8.6
75,Marks-White,28.5383355,-81.3792365,"Orlando, Florida",3805193,2.4
76,"Schultz, McLaughlin and Anderson",32.2217429,-110.926479,"Tucson, Arizona",1456280,5.8
77,Stamm-Schaden,39.7589478,-84.1916069,"Dayton, Ohio",3441064,4.8
78,"DuBuque, Cummerata and Harber",35.9131996,-79.0558445,"Chapel Hill, North Carolina",3972991,8.2
79,"Prosacco, Wintheiser and DuBuque",33.8491816,-118.3884078,"Redondo Beach, California",3456336,7.5
80,"Crist, Daugherty and Cormier",30.3674198,-89.0928155,"Gulfport, Mississippi",1842700,8.2
81,Beier-Smitham,42.8142432,-73.9395687,"Schenectady, New York",2255547,5.8
82,Kemmer Group,45.0105194,-93.4555093,"Plymouth, Minnesota",4281882,7.7
83,Bayer LLC,37.7396513,-121.4252227,"Tracy, California",1962411,8.2
84,Zulauf LLC,35.9250637,-86.8688899,"Franklin, Tennessee",1957169,4.9
85,Murray Group,42.3265152,-122.8755949,"Medford, Oregon",2601847,2.2
86,"Heller, Stehr and Heller",39.0067768,-76.7791365,"Bowie, Maryland",936669,7.5
87,"Johns, Bogisich and Hand",42.866632,-106.313081,"Casper, Wyoming",3287622,6.7
88,"Funk, Gerlach and Gerhold",34.6100243,-112.315721,"Prescott Valley, Arizona",2827987,2.6
89,Kihn-Kilback,39.8083196,-104.9338675,"Commerce City, Colorado",1222323,4.2
90,"Rosenbaum, Cartwright and Kohler",35.1359386,-114.5285981,"Bullhead City, Arizona",1077332,7.1
91,Brekke LLC,39.8386516,-86.0252612,"Lawrence, Indiana",2778496,3.3
92,Schoen Group,36.3955891,-97.8783911,"Enid, Oklahoma",1436041,2.9
93,Swaniawski-Fisher,32.844017,-97.1430671,"Bedford, Texas",816248,8.5
94,"Sawayn, Keefe and Hyatt",33.7700504,-118.1937395,"Long Beach, California",2190966,2.4
95,Wiza-Kunde,35.8456213,-86.39027,"Murfreesboro, Tennessee",3447658,3.4
96,Blick Inc,37.3382082,-121.8863286,"San Jose, California",1199320,5.5
97,Gutkowski-Ernser,34.0922335,-117.435048,"Fontana, California",4035028,8.9
98,"Bernhard, Koss and Fahey",41.6763545,-86.2519898,"South Bend, Indiana",2750360,7.4
99,Ankunding-Kohler,39.7294319,-104.8319195,"Aurora, Colorado",2694598,3
100,Reilly and Sons,35.6528323,-97.4780954,"Edmond, Oklahoma",3328620,4.7
,Roob and Sons,30.6953657,-88.0398912,"Mobile, Alabama",3474520,9
,"Lubowitz, Considine and Ledner",31.9973456,-102.0779146,"Midland, Texas",2822151,8.4
,"Simonis, Wunsch and Stanton",42.1014831,-72.589811,"Springfield, Massachusetts",1000482,7.3
,Mraz LLC,40.5852602,-105.084423,"Fort Collins, Colorado",4344312,6.5
,"Adams, Cole and Cole",34.7464809,-92.2895948,"Little Rock, Arkansas",2021644,4.9
,"Deckow, Kshlerin and Kertzmann",39.7392358,-104.990251,"Denver, Colorado",835118,2.1
,Skiles LLC,25.8575963,-80.2781057,"Hialeah, Florida",920647,7.7
,"Goyette, Amore and Bailey",40.7127837,-74.0059413,"New York, New York",625192,1.4
,"Schulist, Rogahn and Rempel",41.6005448,-93.6091064,"Des Moines, Iowa",2703842,9.1
,Block-White,31.7775757,-106.4424559,"El Paso, Texas",1557008,1.7
,"Nader, Gleason and Johnston",29.7604267,-95.3698028,"Houston, Texas",4236818,5.4
,Hoeger-Cassin,34.2257255,-77.9447102,"Wilmington, North Carolina",518893,5.7
,"Hodkiewicz, Corwin and Mitchell",41.6362152,-70.934205,"New Bedford, Massachusetts",2755021,1.9
,Schimmel-Kozey,32.3199396,-106.7636538,"Las Cruces, New Mexico",3404366,1.8
,Schaden-Rogahn,34.2694474,-118.781482,"Simi Valley, California",820260,8.5
,"Ledner, DuBuque and Pfeffer",33.4936391,-117.1483648,"Temecula, California",2056770,1.2
,Moore Group,42.2808256,-83.7430378,"Ann Arbor, Michigan",2720117,8.4
