id,country,total,group,year
1,China,-367,high,2015
2,Canada,-15.4499,low,2015
3,Mexico,-59.9732,high,2015
4,Japan,-69.0577,high,2015
5,Germany,-74.909,high,2015
6,South Korea,-28.2913,medium,2015
7,United Kingdom,-1.9624,low,2015
8,France,-17.7825,low,2015
9,India,-23.3297,medium,2015
10,Italy,-28.0081,medium,2015
11,Taiwan,-15.0853,low,2015
12,Brazil,4.1669,low,2015
13,Netherlands,2.3367,medium,2015
14,Switzerland,-9.2767,low,2015
15,Ireland,-30.4208,medium,2015
16,Vietnam,-30.9144,medium,2015
17,Malaysia,-21.6942,medium,2015
18,Singapore,10.2088,low,2015
19,Hong Kong,30.3811,medium,2015
20,Belgium,14.687,low,2015
21,Thailand,-17.3934,medium,2015
22,Saudi Arabia,-2.2916,low,2015
23,Australia,14.1468,low,2015
24,Israel,-10.9556,low,2015
25,Colombia,2.2234,low,2015
26,Spain,-3.8227,low,2015
27,Indonesia,-12.4871,low,2015
28,United Arab Emirates,20.5273,low,2015
29,Chile,6.6721,low,2015
30,Russia,-9.2859,low,2015
31,China,-347,high,2016
32,Canada,-11.0478,low,2016
33,Mexico,-63.8728,high,2016
34,Japan,-68.8043,high,2016
35,Germany,-64.675,high,2016
36,South Korea,-27.5827,medium,2016
37,United Kingdom,0.8985,low,2016
38,France,-15.5646,low,2016
39,India,-24.3921,medium,2016
40,Italy,-28.5678,medium,2016
41,Taiwan,-13.2067,low,2016
42,Brazil,4.0124,low,2016
43,Netherlands,23.4998,medium,2016
44,Switzerland,-13.548,low,2016
45,Ireland,-35.9614,medium,2016
46,Vietnam,-31.9929,medium,2016
47,Malaysia,-24.7829,medium,2016
48,Singapore,8.9993,low,2016
49,Hong Kong,27.4875,medium,2016
50,Belgium,15.0862,low,2016
51,Thailand,-19.0217,medium,2016
52,Saudi Arabia,1.0759,low,2016
53,Australia,12.6402,low,2016
54,Israel,-9.0199,low,2016
55,Colombia,-0.751,low,2016
56,Spain,-3.0224,low,2016
57,Indonesia,-13.1668,low,2016
58,United Arab Emirates,19.0171,low,2016
59,Chile,4.1396,low,2016
60,Russia,-8.7516,low,2016
61,China,-376,high,2017
62,Canada,-17.054,low,2017
63,Mexico,-70.953,high,2017
64,Japan,-68.876,high,2017
65,Germany,-63.678,high,2017
66,South Korea,-23.118,medium,2017
67,United Kingdom,3.198,low,2017
68,France,-15.303,low,2017
69,India,-22.914,medium,2017
70,Italy,-31.513,medium,2017
71,Taiwan,-16.732,low,2017
72,Brazil,7.77,low,2017
73,Netherlands,23.725,medium,2017
74,Switzerland,-14.312,low,2017
75,Ireland,-38.089,medium,2017
76,Vietnam,-38.355,medium,2017
77,Malaysia,-24.432,medium,2017
78,Singapore,10.439,low,2017
79,Hong Kong,32.563,medium,2017
80,Belgium,14.927,low,2017
81,Thailand,-20.16,medium,2017
82,Saudi Arabia,2.533,low,2017
83,Australia,14.482,low,2017
84,Israel,-9.395,low,2017
85,Colombia,-0.245,low,2017
86,Spain,-4.581,low,2017
87,Indonesia,-13.345,low,2017
88,United Arab Emirates,15.751,low,2017
89,Chile,3.054,low,2017
90,Russia,-10.023,low,2017
